operon	miembros	locus_tags	fuente
flgBCDEFG	flgB|flgC|flgD|flgE|flgF|flgG	PA1077|PA1078|PA1079|PA1080|PA1081|PA1082	refseq_adyacencia
flgBCDEFGH	flgB|flgC|flgD|flgE|flgF|flgG|flgH	PA1077|PA1078|PA1079|PA1080|PA1081|PA1082|PA1083	refseq_adyacencia
flgBCDEFGHI	flgB|flgC|flgD|flgE|flgF|flgG|flgH|flgI	PA1077|PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084	refseq_adyacencia
flgBCDEFGHIJ	flgB|flgC|flgD|flgE|flgF|flgG|flgH|flgI|flgJ	PA1077|PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085	refseq_adyacencia
flgBCDEFGHIJK	flgB|flgC|flgD|flgE|flgF|flgG|flgH|flgI|flgJ|flgK	PA1077|PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086	refseq_adyacencia
flgBCDEFGHIJKL	flgB|flgC|flgD|flgE|flgF|flgG|flgH|flgI|flgJ|flgK|flgL	PA1077|PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086|PA1087	refseq_adyacencia
flgCD	flgC|flgD	PA1078|PA1079	refseq_adyacencia
flgCDE	flgC|flgD|flgE	PA1078|PA1079|PA1080	refseq_adyacencia
flgCDEF	flgC|flgD|flgE|flgF	PA1078|PA1079|PA1080|PA1081	refseq_adyacencia
flgCDEFG	flgC|flgD|flgE|flgF|flgG	PA1078|PA1079|PA1080|PA1081|PA1082	refseq_adyacencia
flgCDEFGH	flgC|flgD|flgE|flgF|flgG|flgH	PA1078|PA1079|PA1080|PA1081|PA1082|PA1083	refseq_adyacencia
flgCDEFGHI	flgC|flgD|flgE|flgF|flgG|flgH|flgI	PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084	refseq_adyacencia
flgCDEFGHIJ	flgC|flgD|flgE|flgF|flgG|flgH|flgI|flgJ	PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085	refseq_adyacencia
flgCDEFGHIJK	flgC|flgD|flgE|flgF|flgG|flgH|flgI|flgJ|flgK	PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086	refseq_adyacencia
flgCDEFGHIJKL	flgC|flgD|flgE|flgF|flgG|flgH|flgI|flgJ|flgK|flgL	PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086|PA1087	refseq_adyacencia
flgDE	flgD|flgE	PA1079|PA1080	refseq_adyacencia
flgDEF	flgD|flgE|flgF	PA1079|PA1080|PA1081	refseq_adyacencia
flgDEFG	flgD|flgE|flgF|flgG	PA1079|PA1080|PA1081|PA1082	refseq_adyacencia
flgDEFGH	flgD|flgE|flgF|flgG|flgH	PA1079|PA1080|PA1081|PA1082|PA1083	refseq_adyacencia
flgDEFGHI	flgD|flgE|flgF|flgG|flgH|flgI	PA1079|PA1080|PA1081|PA1082|PA1083|PA1084	refseq_adyacencia
flgDEFGHIJ	flgD|flgE|flgF|flgG|flgH|flgI|flgJ	PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085	refseq_adyacencia
flgDEFGHIJK	flgD|flgE|flgF|flgG|flgH|flgI|flgJ|flgK	PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086	refseq_adyacencia
flgDEFGHIJKL	flgD|flgE|flgF|flgG|flgH|flgI|flgJ|flgK|flgL	PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086|PA1087	refseq_adyacencia
flgEF	flgE|flgF	PA1080|PA1081	refseq_adyacencia
flgEFG	flgE|flgF|flgG	PA1080|PA1081|PA1082	refseq_adyacencia
flgEFGH	flgE|flgF|flgG|flgH	PA1080|PA1081|PA1082|PA1083	refseq_adyacencia
flgEFGHI	flgE|flgF|flgG|flgH|flgI	PA1080|PA1081|PA1082|PA1083|PA1084	refseq_adyacencia
flgEFGHIJ	flgE|flgF|flgG|flgH|flgI|flgJ	PA1080|PA1081|PA1082|PA1083|PA1084|PA1085	refseq_adyacencia
flgEFGHIJK	flgE|flgF|flgG|flgH|flgI|flgJ|flgK	PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086	refseq_adyacencia
flgEFGHIJKL	flgE|flgF|flgG|flgH|flgI|flgJ|flgK|flgL	PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086|PA1087	refseq_adyacencia
flgFG	flgF|flgG	PA1081|PA1082	refseq_adyacencia
flgFGH	flgF|flgG|flgH	PA1081|PA1082|PA1083	refseq_adyacencia
flgFGHI	flgF|flgG|flgH|flgI	PA1081|PA1082|PA1083|PA1084	refseq_adyacencia
flgFGHIJ	flgF|flgG|flgH|flgI|flgJ	PA1081|PA1082|PA1083|PA1084|PA1085	refseq_adyacencia
flgFGHIJK	flgF|flgG|flgH|flgI|flgJ|flgK	PA1081|PA1082|PA1083|PA1084|PA1085|PA1086	refseq_adyacencia
flgFGHIJKL	flgF|flgG|flgH|flgI|flgJ|flgK|flgL	PA1081|PA1082|PA1083|PA1084|PA1085|PA1086|PA1087	refseq_adyacencia
flgGH	flgG|flgH	PA1082|PA1083	refseq_adyacencia
flgGHI	flgG|flgH|flgI	PA1082|PA1083|PA1084	refseq_adyacencia
flgGHIJ	flgG|flgH|flgI|flgJ	PA1082|PA1083|PA1084|PA1085	refseq_adyacencia
flgGHIJK	flgG|flgH|flgI|flgJ|flgK	PA1082|PA1083|PA1084|PA1085|PA1086	refseq_adyacencia
flgGHIJKL	flgG|flgH|flgI|flgJ|flgK|flgL	PA1082|PA1083|PA1084|PA1085|PA1086|PA1087	refseq_adyacencia
flgHI	flgH|flgI	PA1083|PA1084	refseq_adyacencia
flgHIJ	flgH|flgI|flgJ	PA1083|PA1084|PA1085	refseq_adyacencia
flgHIJK	flgH|flgI|flgJ|flgK	PA1083|PA1084|PA1085|PA1086	refseq_adyacencia
flgHIJKL	flgH|flgI|flgJ|flgK|flgL	PA1083|PA1084|PA1085|PA1086|PA1087	refseq_adyacencia
flgIJ	flgI|flgJ	PA1084|PA1085	refseq_adyacencia
flgIJK	flgI|flgJ|flgK	PA1084|PA1085|PA1086	refseq_adyacencia
flgIJKL	flgI|flgJ|flgK|flgL	PA1084|PA1085|PA1086|PA1087	refseq_adyacencia
flgJK	flgJ|flgK	PA1085|PA1086	refseq_adyacencia
flgJKL	flgJ|flgK|flgL	PA1085|PA1086|PA1087	refseq_adyacencia
flgKL	flgK|flgL	PA1086|PA1087	refseq_adyacencia
flhAF	flhA|flhF	PA1452|PA1453	refseq_adyacencia
flhAF-fleN	flhA|flhF|fleN	PA1452|PA1453|PA1454	refseq_adyacencia
flhAF-fleN-fliA	flhA|flhF|fleN|fliA	PA1452|PA1453|PA1454|PA1455	refseq_adyacencia
flhAF-fleN-fliA-cheY	flhA|flhF|fleN|fliA|cheY	PA1452|PA1453|PA1454|PA1455|PA1456	refseq_adyacencia
flhAF-fleN-fliA-cheYZ	flhA|flhF|fleN|fliA|cheY|cheZ	PA1452|PA1453|PA1454|PA1455|PA1456|PA1457	refseq_adyacencia
flhF-fleN	flhF|fleN	PA1453|PA1454	refseq_adyacencia
flhF-fleN-fliA	flhF|fleN|fliA	PA1453|PA1454|PA1455	refseq_adyacencia
flhF-fleN-fliA-cheY	flhF|fleN|fliA|cheY	PA1453|PA1454|PA1455|PA1456	refseq_adyacencia
flhF-fleN-fliA-cheYZ	flhF|fleN|fliA|cheY|cheZ	PA1453|PA1454|PA1455|PA1456|PA1457	refseq_adyacencia
fliA-cheY	fliA|cheY	PA1455|PA1456	refseq_adyacencia
fliA-cheYZ	fliA|cheY|cheZ	PA1455|PA1456|PA1457	refseq_adyacencia
fliDS	fliD|fliS	PA1094|PA1095	refseq_adyacencia
fliEF	fliE|fliF	PA1100|PA1101	refseq_adyacencia
fliEFG	fliE|fliF|fliG	PA1100|PA1101|PA1102	refseq_adyacencia
fliFG	fliF|fliG	PA1101|PA1102	refseq_adyacencia
fliIJ	fliI|fliJ	PA1104|PA1105	refseq_adyacencia
fliMN	fliM|fliN	PA1443|PA1444	refseq_adyacencia
fliMNO	fliM|fliN|fliO	PA1443|PA1444|PA1445	refseq_adyacencia
fliMNOP	fliM|fliN|fliO|fliP	PA1443|PA1444|PA1445|PA1446	refseq_adyacencia
fliMNOPQ	fliM|fliN|fliO|fliP|fliQ	PA1443|PA1444|PA1445|PA1446|PA1447	refseq_adyacencia
fliMNOPQR	fliM|fliN|fliO|fliP|fliQ|fliR	PA1443|PA1444|PA1445|PA1446|PA1447|PA1448	refseq_adyacencia
fliMNOPQR-flhB	fliM|fliN|fliO|fliP|fliQ|fliR|flhB	PA1443|PA1444|PA1445|PA1446|PA1447|PA1448|PA1449	refseq_adyacencia
fliNO	fliN|fliO	PA1444|PA1445	refseq_adyacencia
fliNOP	fliN|fliO|fliP	PA1444|PA1445|PA1446	refseq_adyacencia
fliNOPQ	fliN|fliO|fliP|fliQ	PA1444|PA1445|PA1446|PA1447	refseq_adyacencia
fliNOPQR	fliN|fliO|fliP|fliQ|fliR	PA1444|PA1445|PA1446|PA1447|PA1448	refseq_adyacencia
fliNOPQR-flhB	fliN|fliO|fliP|fliQ|fliR|flhB	PA1444|PA1445|PA1446|PA1447|PA1448|PA1449	refseq_adyacencia
fliOP	fliO|fliP	PA1445|PA1446	refseq_adyacencia
fliOPQ	fliO|fliP|fliQ	PA1445|PA1446|PA1447	refseq_adyacencia
fliOPQR	fliO|fliP|fliQ|fliR	PA1445|PA1446|PA1447|PA1448	refseq_adyacencia
fliOPQR-flhB	fliO|fliP|fliQ|fliR|flhB	PA1445|PA1446|PA1447|PA1448|PA1449	refseq_adyacencia
fliPQ	fliP|fliQ	PA1446|PA1447	refseq_adyacencia
fliPQR	fliP|fliQ|fliR	PA1446|PA1447|PA1448	refseq_adyacencia
fliPQR-flhB	fliP|fliQ|fliR|flhB	PA1446|PA1447|PA1448|PA1449	refseq_adyacencia
fliQR	fliQ|fliR	PA1447|PA1448	refseq_adyacencia
fliQR-flhB	fliQ|fliR|flhB	PA1447|PA1448|PA1449	refseq_adyacencia
fliR-flhB	fliR|flhB	PA1448|PA1449	refseq_adyacencia
folK-panB	folK|panB	PA4728|PA4729	refseq_adyacencia
folK-panBC	folK|panB|panC	PA4728|PA4729|PA4730	refseq_adyacencia
folK-panBCD	folK|panB|panC|panD	PA4728|PA4729|PA4730|PA4731	refseq_adyacencia
folP-glmM	folP|glmM	PA4750|PA4749	refseq_adyacencia
folP-glmM-tpiA	folP|glmM|tpiA	PA4750|PA4749|PA4748	refseq_adyacencia
folP-glmM-tpiA-secG	folP|glmM|tpiA|secG	PA4750|PA4749|PA4748|PA4747	refseq_adyacencia
foxIR	foxI|foxR	PA2468|PA2467	refseq_adyacencia
foxIRA	foxI|foxR|foxA	PA2468|PA2467|PA2466	refseq_adyacencia
foxRA	foxR|foxA	PA2467|PA2466	refseq_adyacencia
fppA-pprB	fppA|pprB	PA4295|PA4296	refseq_adyacencia
fptAB	fptA|fptB	PA4221|PA4220	refseq_adyacencia
fpvI-pvdA	fpvI|pvdA	PA2387|PA2386	refseq_adyacencia
fpvI-pvdAQ	fpvI|pvdA|pvdQ	PA2387|PA2386|PA2385	refseq_adyacencia
fpvR-pvdR	fpvR|pvdR	PA2388|PA2389	refseq_adyacencia
fpvR-pvdRT	fpvR|pvdR|pvdT	PA2388|PA2389|PA2390	refseq_adyacencia
fpvR-pvdRT-opmQ	fpvR|pvdR|pvdT|opmQ	PA2388|PA2389|PA2390|PA2391	refseq_adyacencia
fruIK	fruI|fruK	PA3562|PA3561	refseq_adyacencia
fruIKA	fruI|fruK|fruA	PA3562|PA3561|PA3560	refseq_adyacencia
fruKA	fruK|fruA	PA3561|PA3560	refseq_adyacencia
ftsAZ	ftsA|ftsZ	PA4408|PA4407	refseq_adyacencia
ftsB-ygbP	ftsB|ygbP	PA3634|PA3633	refseq_adyacencia
ftsEX	ftsE|ftsX	PA0374|PA0375	refseq_adyacencia
ftsEX-rpoH	ftsE|ftsX|rpoH	PA0374|PA0375|PA0376	refseq_adyacencia
ftsH-folP	ftsH|folP	PA4751|PA4750	refseq_adyacencia
ftsH-folP-glmM	ftsH|folP|glmM	PA4751|PA4750|PA4749	refseq_adyacencia
ftsH-folP-glmM-tpiA	ftsH|folP|glmM|tpiA	PA4751|PA4750|PA4749|PA4748	refseq_adyacencia
ftsH-folP-glmM-tpiA-secG	ftsH|folP|glmM|tpiA|secG	PA4751|PA4750|PA4749|PA4748|PA4747	refseq_adyacencia
ftsI-murE	ftsI|murE	PA4418|PA4417	refseq_adyacencia
ftsI-murEF	ftsI|murE|murF	PA4418|PA4417|PA4416	refseq_adyacencia
ftsI-murEF-mraY	ftsI|murE|murF|mraY	PA4418|PA4417|PA4416|PA4415	refseq_adyacencia
ftsI-murEF-mraY-murD	ftsI|murE|murF|mraY|murD	PA4418|PA4417|PA4416|PA4415|PA4414	refseq_adyacencia
ftsI-murEF-mraY-murD-ftsW	ftsI|murE|murF|mraY|murD|ftsW	PA4418|PA4417|PA4416|PA4415|PA4414|PA4413	refseq_adyacencia
ftsI-murEF-mraY-murD-ftsW-murG	ftsI|murE|murF|mraY|murD|ftsW|murG	PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412	refseq_adyacencia
ftsI-murEF-mraY-murD-ftsW-murGC	ftsI|murE|murF|mraY|murD|ftsW|murG|murC	PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411	refseq_adyacencia
ftsI-murEF-mraY-murD-ftsW-murGC-ddlB	ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB	PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410	refseq_adyacencia
ftsI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQ	ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB|ftsQ	PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410|PA4409	refseq_adyacencia
ftsI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQA	ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB|ftsQ|ftsA	PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410|PA4409|PA4408	refseq_adyacencia
ftsI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ	ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB|ftsQ|ftsA|ftsZ	PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410|PA4409|PA4408|PA4407	refseq_adyacencia
ftsJH	ftsJ|ftsH	PA4752|PA4751	refseq_adyacencia
ftsJH-folP	ftsJ|ftsH|folP	PA4752|PA4751|PA4750	refseq_adyacencia
ftsJH-folP-glmM	ftsJ|ftsH|folP|glmM	PA4752|PA4751|PA4750|PA4749	refseq_adyacencia
ftsJH-folP-glmM-tpiA	ftsJ|ftsH|folP|glmM|tpiA	PA4752|PA4751|PA4750|PA4749|PA4748	refseq_adyacencia
ftsJH-folP-glmM-tpiA-secG	ftsJ|ftsH|folP|glmM|tpiA|secG	PA4752|PA4751|PA4750|PA4749|PA4748|PA4747	refseq_adyacencia
ftsK-lolA	ftsK|lolA	PA2615|PA2614	refseq_adyacencia
ftsLI	ftsL|ftsI	PA4419|PA4418	refseq_adyacencia
ftsLI-murE	ftsL|ftsI|murE	PA4419|PA4418|PA4417	refseq_adyacencia
ftsLI-murEF	ftsL|ftsI|murE|murF	PA4419|PA4418|PA4417|PA4416	refseq_adyacencia
ftsLI-murEF-mraY	ftsL|ftsI|murE|murF|mraY	PA4419|PA4418|PA4417|PA4416|PA4415	refseq_adyacencia
ftsLI-murEF-mraY-murD	ftsL|ftsI|murE|murF|mraY|murD	PA4419|PA4418|PA4417|PA4416|PA4415|PA4414	refseq_adyacencia
ftsLI-murEF-mraY-murD-ftsW	ftsL|ftsI|murE|murF|mraY|murD|ftsW	PA4419|PA4418|PA4417|PA4416|PA4415|PA4414|PA4413	refseq_adyacencia
ftsLI-murEF-mraY-murD-ftsW-murG	ftsL|ftsI|murE|murF|mraY|murD|ftsW|murG	PA4419|PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412	refseq_adyacencia
ftsLI-murEF-mraY-murD-ftsW-murGC	ftsL|ftsI|murE|murF|mraY|murD|ftsW|murG|murC	PA4419|PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411	refseq_adyacencia
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB	ftsL|ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB	PA4419|PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410	refseq_adyacencia
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQ	ftsL|ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB|ftsQ	PA4419|PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410|PA4409	refseq_adyacencia
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQA	ftsL|ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB|ftsQ|ftsA	PA4419|PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410|PA4409|PA4408	refseq_adyacencia
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ	ftsL|ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB|ftsQ|ftsA|ftsZ	PA4419|PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410|PA4409|PA4408|PA4407	refseq_adyacencia
ftsQA	ftsQ|ftsA	PA4409|PA4408	refseq_adyacencia
ftsQAZ	ftsQ|ftsA|ftsZ	PA4409|PA4408|PA4407	refseq_adyacencia
ftsW-murG	ftsW|murG	PA4413|PA4412	refseq_adyacencia
ftsW-murGC	ftsW|murG|murC	PA4413|PA4412|PA4411	refseq_adyacencia
ftsW-murGC-ddlB	ftsW|murG|murC|ddlB	PA4413|PA4412|PA4411|PA4410	refseq_adyacencia
ftsW-murGC-ddlB-ftsQ	ftsW|murG|murC|ddlB|ftsQ	PA4413|PA4412|PA4411|PA4410|PA4409	refseq_adyacencia
ftsW-murGC-ddlB-ftsQA	ftsW|murG|murC|ddlB|ftsQ|ftsA	PA4413|PA4412|PA4411|PA4410|PA4409|PA4408	refseq_adyacencia
ftsW-murGC-ddlB-ftsQAZ	ftsW|murG|murC|ddlB|ftsQ|ftsA|ftsZ	PA4413|PA4412|PA4411|PA4410|PA4409|PA4408|PA4407	refseq_adyacencia
ftsX-rpoH	ftsX|rpoH	PA0375|PA0376	refseq_adyacencia
ftsYE	ftsY|ftsE	PA0373|PA0374	refseq_adyacencia
ftsYEX	ftsY|ftsE|ftsX	PA0373|PA0374|PA0375	refseq_adyacencia
ftsYEX-rpoH	ftsY|ftsE|ftsX|rpoH	PA0373|PA0374|PA0375|PA0376	refseq_adyacencia
gabD-davT	gabD|davT	PA0265|PA0266	refseq_adyacencia
gacA-uvrC	gacA|uvrC	PA2586|PA2585	refseq_adyacencia
gacA-uvrC-pgsA	gacA|uvrC|pgsA	PA2586|PA2585|PA2584	refseq_adyacencia
gacS-ldhA	gacS|ldhA	PA0928|PA0927	refseq_adyacencia
gatAB	gatA|gatB	PA4483|PA4484	refseq_adyacencia
gatAB-rlpA	gatA|gatB|rlpA	PA4483|PA4484|PA4485	refseq_adyacencia
gatB-rlpA	gatB|rlpA	PA4484|PA4485	refseq_adyacencia
gatCA	gatC|gatA	PA4482|PA4483	refseq_adyacencia
gatCAB	gatC|gatA|gatB	PA4482|PA4483|PA4484	refseq_adyacencia
gatCAB-rlpA	gatC|gatA|gatB|rlpA	PA4482|PA4483|PA4484|PA4485	refseq_adyacencia
gcpE-hisS	gcpE|hisS	PA3803|PA3802	refseq_adyacencia
gidAB	gidA|gidB	PA5565|PA5564	refseq_adyacencia
glcC-ubiC	glcC|ubiC	PA5356|PA5357	refseq_adyacencia
glcC-ubiCA	glcC|ubiC|ubiA	PA5356|PA5357|PA5358	refseq_adyacencia
glcDE	glcD|glcE	PA5355|PA5354	refseq_adyacencia
glcDEF	glcD|glcE|glcF	PA5355|PA5354|PA5353	refseq_adyacencia
glcEF	glcE|glcF	PA5354|PA5353	refseq_adyacencia
glmM-tpiA	glmM|tpiA	PA4749|PA4748	refseq_adyacencia
glmM-tpiA-secG	glmM|tpiA|secG	PA4749|PA4748|PA4747	refseq_adyacencia
glmRS	glmR|glmS	PA5550|PA5549	refseq_adyacencia
glnE-ilvE	glnE|ilvE	PA5014|PA5013	refseq_adyacencia
glnE-ilvE-waaF	glnE|ilvE|waaF	PA5014|PA5013|PA5012	refseq_adyacencia
glnE-ilvE-waaFC	glnE|ilvE|waaF|waaC	PA5014|PA5013|PA5012|PA5011	refseq_adyacencia
glnE-ilvE-waaFCG	glnE|ilvE|waaF|waaC|waaG	PA5014|PA5013|PA5012|PA5011|PA5010	refseq_adyacencia
glnE-ilvE-waaFCGP	glnE|ilvE|waaF|waaC|waaG|waaP	PA5014|PA5013|PA5012|PA5011|PA5010|PA5009	refseq_adyacencia
glnK-amtB	glnK|amtB	PA5288|PA5287	refseq_adyacencia
glnS-cysS	glnS|cysS	PA1794|PA1795	refseq_adyacencia
gloB-mltD	gloB|mltD	PA1813|PA1812	refseq_adyacencia
glpDM	glpD|glpM	PA3584|PA3585	refseq_adyacencia
glpFK	glpF|glpK	PA3581|PA3582	refseq_adyacencia
glpFKR	glpF|glpK|glpR	PA3581|PA3582|PA3583	refseq_adyacencia
glpFKRD	glpF|glpK|glpR|glpD	PA3581|PA3582|PA3583|PA3584	refseq_adyacencia
glpFKRDM	glpF|glpK|glpR|glpD|glpM	PA3581|PA3582|PA3583|PA3584|PA3585	refseq_adyacencia
glpKR	glpK|glpR	PA3582|PA3583	refseq_adyacencia
glpKRD	glpK|glpR|glpD	PA3582|PA3583|PA3584	refseq_adyacencia
glpKRDM	glpK|glpR|glpD|glpM	PA3582|PA3583|PA3584|PA3585	refseq_adyacencia
glpRD	glpR|glpD	PA3583|PA3584	refseq_adyacencia
glpRDM	glpR|glpD|glpM	PA3583|PA3584|PA3585	refseq_adyacencia
gltBD	gltB|gltD	PA5036|PA5035	refseq_adyacencia
gltBD-hemE	gltB|gltD|hemE	PA5036|PA5035|PA5034	refseq_adyacencia
gltD-hemE	gltD|hemE	PA5035|PA5034	refseq_adyacencia
gltR-gtrS	gltR|gtrS	PA3192|PA3191	refseq_adyacencia
glyQS	glyQ|glyS	PA0009|PA0008	refseq_adyacencia
gmhB-lptA	gmhB|lptA	PA0006|PA0005	refseq_adyacencia
gpuAR	gpuA|gpuR	PA0288|PA0289	refseq_adyacencia
gpuPA	gpuP|gpuA	PA0287|PA0288	refseq_adyacencia
gpuPAR	gpuP|gpuA|gpuR	PA0287|PA0288|PA0289	refseq_adyacencia
grpE-dnaK	grpE|dnaK	PA4762|PA4761	refseq_adyacencia
grpE-dnaKJ	grpE|dnaK|dnaJ	PA4762|PA4761|PA4760	refseq_adyacencia
grpE-dnaKJ-dapB	grpE|dnaK|dnaJ|dapB	PA4762|PA4761|PA4760|PA4759	refseq_adyacencia
guaBA	guaB|guaA	PA3770|PA3769	refseq_adyacencia
gyrA-serC	gyrA|serC	PA3168|PA3167	refseq_adyacencia
gyrA-serC-pheA	gyrA|serC|pheA	PA3168|PA3167|PA3166	refseq_adyacencia
hasDE	hasD|hasE	PA3406|PA3405	refseq_adyacencia
hcnAB	hcnA|hcnB	PA2193|PA2194	refseq_adyacencia
hcnABC	hcnA|hcnB|hcnC	PA2193|PA2194|PA2195	refseq_adyacencia
hcnBC	hcnB|hcnC	PA2194|PA2195	refseq_adyacencia
hemA-prfA	hemA|prfA	PA4666|PA4665	refseq_adyacencia
hemA-prfA-hemK	hemA|prfA|hemK	PA4666|PA4665|PA4664	refseq_adyacencia
hemA-prfA-hemK-moeB	hemA|prfA|hemK|moeB	PA4666|PA4665|PA4664|PA4663	refseq_adyacencia
hemA-prfA-hemK-moeB-murI	hemA|prfA|hemK|moeB|murI	PA4666|PA4665|PA4664|PA4663|PA4662	refseq_adyacencia
hemA-prfA-hemK-moeB-murI-pagL	hemA|prfA|hemK|moeB|murI|pagL	PA4666|PA4665|PA4664|PA4663|PA4662|PA4661	refseq_adyacencia
hemCD	hemC|hemD	PA5260|PA5259	refseq_adyacencia
hemF-aroE	hemF|aroE	PA0024|PA0025	refseq_adyacencia
hemF-aroE-plcB	hemF|aroE|plcB	PA0024|PA0025|PA0026	refseq_adyacencia
hemK-moeB	hemK|moeB	PA4664|PA4663	refseq_adyacencia
hemK-moeB-murI	hemK|moeB|murI	PA4664|PA4663|PA4662	refseq_adyacencia
hemK-moeB-murI-pagL	hemK|moeB|murI|pagL	PA4664|PA4663|PA4662|PA4661	refseq_adyacencia
hflKC	hflK|hflC	PA4942|PA4941	refseq_adyacencia
hflXK	hflX|hflK	PA4943|PA4942	refseq_adyacencia
hflXKC	hflX|hflK|hflC	PA4943|PA4942|PA4941	refseq_adyacencia
hisE-tatA	hisE|tatA	PA5067|PA5068	refseq_adyacencia
hisE-tatAB	hisE|tatA|tatB	PA5067|PA5068|PA5069	refseq_adyacencia
hisE-tatABC	hisE|tatA|tatB|tatC	PA5067|PA5068|PA5069|PA5070	refseq_adyacencia
hisGD	hisG|hisD	PA4449|PA4448	refseq_adyacencia
hisIE	hisI|hisE	PA5066|PA5067	refseq_adyacencia
hisIE-tatA	hisI|hisE|tatA	PA5066|PA5067|PA5068	refseq_adyacencia
hisIE-tatAB	hisI|hisE|tatA|tatB	PA5066|PA5067|PA5068|PA5069	refseq_adyacencia
hisIE-tatABC	hisI|hisE|tatA|tatB|tatC	PA5066|PA5067|PA5068|PA5069|PA5070	refseq_adyacencia
hisJQ	hisJ|hisQ	PA2923|PA2924	refseq_adyacencia
hisJQM	hisJ|hisQ|hisM	PA2923|PA2924|PA2925	refseq_adyacencia
hisJQMP	hisJ|hisQ|hisM|hisP	PA2923|PA2924|PA2925|PA2926	refseq_adyacencia
hisMP	hisM|hisP	PA2925|PA2926	refseq_adyacencia
hisQM	hisQ|hisM	PA2924|PA2925	refseq_adyacencia
hisQMP	hisQ|hisM|hisP	PA2924|PA2925|PA2926	refseq_adyacencia
hisZ-purA	hisZ|purA	PA4939|PA4938	refseq_adyacencia
hitAB	hitA|hitB	PA4687|PA4688	refseq_adyacencia
hmgA-fahA	hmgA|fahA	PA2009|PA2008	refseq_adyacencia
hmgA-fahA-maiA	hmgA|fahA|maiA	PA2009|PA2008|PA2007	refseq_adyacencia
holB-pilZ	holB|pilZ	PA2961|PA2960	refseq_adyacencia
hpaAC	hpaA|hpaC	PA4091|PA4092	refseq_adyacencia
hpcBD	hpcB|hpcD	PA4124|PA4125	refseq_adyacencia
hpcCB	hpcC|hpcB	PA4123|PA4124	refseq_adyacencia
hpcCBD	hpcC|hpcB|hpcD	PA4123|PA4124|PA4125	refseq_adyacencia
hprA-rsmC	hprA|rsmC	PA4626|PA4627	refseq_adyacencia
hprA-rsmC-lysP	hprA|rsmC|lysP	PA4626|PA4627|PA4628	refseq_adyacencia
hptB-recQ	hptB|recQ	PA3345|PA3344	refseq_adyacencia
hscBA	hscB|hscA	PA3811|PA3810	refseq_adyacencia
hslVU	hslV|hslU	PA5053|PA5054	refseq_adyacencia
hutIG	hutI|hutG	PA5092|PA5091	refseq_adyacencia
ileS-lspA	ileS|lspA	PA4560|PA4559	refseq_adyacencia
