tf	blanco	signo	certeza_dominio	subsistema	alias	atestiguado	n_articulos	pmids	oracion
MucB	algU	represses	establecida	Factores sigma	MucB actua en el periplasma sobre MucA; inhibicion indirecta de AlgU	true	32	18599839,19298369,24852379,24913916,26206672	The activity of AlgU is regulated by the algUmucABCD cluster, which encodes a cognate anti-sigma factor, MucA, as well as the negative regulators MucB and MucD.
OxyR	katB	activates	establecida	Factores sigma	la misma oracion cubre katA, ahpB y ahpCF como blancos de OxyR	true	17	22275523,32605982,33101252,34254827,24157832	In the human opportunistic pathogen Pseudomonas aeruginosa, OxyR positively regulates expression of the oxidative stress response genes katA, katB, ahpB and ahpCF.
PsrA	rpoS	activates	establecida	Factores sigma	PsrA es un regulador de la familia TetR, sensor de acidos grasos de cadena larga	true	18	19508282,15899403,16428760,12879217,12823806	The Pseudomonas aeruginosa PsrA autorepressor has dual roles as a repressor of the fadBA5 beta-oxidation-operon and an activator of the stationary-phase sigma factor rpoS and exsCEBA-operon of the type III secretion system (TTSS).
RpoH	htpG	activates	probable	Factores sigma	htpG = chaperona Hsp90 bacteriana, miembro clasico del regulon de choque termico	false	0		
RpoH	ibpA	activates	establecida	Factores sigma	RpoH=sigma-32; ibpA=PA3126, chaperona pequena de choque termico	true	5	23741480,36675051,26441945	We conclude that transcriptional control of the ibpA gene depends on the heat shock sigma factor sigma32.
RpoN	algD	activates	probable	Factores sigma	efecto medido en el fondo mucoide PAO579, rio arriba de PilA y AlgU	true	4	23533140,22497280,24138584	Consistent with these findings, we observed that inactivation of rpoN in PAO579 (PAO579rpoN::TcR) resulted in a significant decreases in activity at the algD and algU promoters when compared to PAO579 (Fig.
RpoN	fleSR	activates	establecida	Factores sigma	FleS/FleR es el TCS flagelar; FleR es un activador dependiente de sigma-54	true	5	34367113,30042200,24497189,34830033,38660402	Previous studies revealed that the activation of FleS/FleR requires another TCS PilS/PilR, an alternate sigma factor RpoN (sigma54) and a transcriptional regulator FleQ (Arora et al., 1997;
RpoN	fliC	activates	establecida	Factores sigma	RpoN=sigma-54=sigmaN; la oracion cubre tambien PflgB, PfliS y PflhA	true	10	27636892,26915971,23572517,28553272,37492705	Promoters PflgB, PfliC, PmcpG, PfliS and PflhA displayed strict dependency on the alternative sigma factor, as their basal expression levels in the rpoN mutant were comparable to those in the vector construct and expression was elevated 5- to 58-fold (for PflhA and PflgB, respectively) in the presence of sigmaN.
RpoN	glnA	activates	establecida	Factores sigma	glnA = glutamina sintetasa; activacion via NtrB/NtrC	true	1	34928327	Overall, our ChIP-seq approach is validated by the fact that RpoN is shown to bind to its well-known targets in our data set, including the top hit glnA (encoding glutamine synthetase involved with nitrogen metabolism) (49) (Supplementary Table S7).
RpoN	pilA	activates	establecida	Factores sigma	pilA es el gen estructural de la pilina de tipo IV; requiere ademas PilS/PilR	true	6	8550520,7911557,23533140,37492705,30281587	Expression of pilA requires the alternative sigma factor RpoN and a pair of regulatory elements, PilS and PilR.
RpoN	rhlR	activates	probable	Factores sigma	efecto indirecto sobre rhlAB via rhlR	true	9	24308329,24943492,26633362,22666466,30281587	Nevertheless, it has been suggested, using translational reporter fusions, that RpoN activates rhlA expression indirectly through the activation of the transcription of rhlR (encoding an rhlAB transcriptional activator) (Medina et al b 2003a).
RpoS	betB	activates	probable	Factores sigma	betAB, osmoproteccion por glicina betaina	false	0		
RpoS	katA	activates	establecida	Factores sigma	la misma fuente extiende la relacion a katB; el corpus la califica de indirecta	true	4	32605982,28553272,24157832	aeruginosa, RpoS controls the expression of the catalase genes katA/B (18); however, no RpoS binding sequence has been identified in the promoter regions of the two genes, indicating an indirect regulation (47).
RpoS	lecA	activates	establecida	Factores sigma	lecA codifica la lectina PA-IL	true	5	32605982,22479525,28553272,35800985,21880152	aeruginosa lectin PA-IL coding gene lecA and the two-component response regulator gene pprB are under the direct regulation of RpoS (58, 59).
RpoS	pprB	activates	probable	Factores sigma	PprB es el regulador de respuesta del TCS PprA-PprB; controla el locus tad y flp	true	8	21880152,24498062,32605982,33391189,35752612	Upregulated gene PA4296, which codes for the two-component response regulator PprB, was shown to be regulated by both RpoS [52] and QS [53].
RpoS	pqsE	represses	probable	Factores sigma	pqsE es el ultimo gen del operon pqsABCDE	true	5	38169053,19682264,20406282,35985643,41810971	Here, we show that RpoS represses pqsE transcription, which impacts the stability and activity of RhlR.
RpoS	rhlI	represses	establecida	Factores sigma	rhlI codifica la sintasa de C4-HSL (BHL)	true	9	10894749,19508282,35752612,37492705,41810971	This rpoS mutant showed elevated levels of rhlI (but not rhlR) transcription, elevated levels of the RhlI-generated acylhomoserine lactone quorum-sensing signal, and elevated levels of RhlR-RhlI-regulated gene transcription.
RpoS	rhlR	regulates	probable	Factores sigma	RpoS=sigma-38=sigma-S	true	20	38169053,35752612,10894749,35800985,41810971	It has been shown that the alternative sigma factor RpoS regulates QS through the reduction of lasR and rhlR transcription (encoding QS regulators).
FoxI	foxA	activates	probable	Hierro sideroforos	FoxI = sigma ECF (sigma-FoxI), PA2468; foxA = receptor de ferrioxamina, PA2466; FoxR = anti-sigma	true	1	25809487	This regulatory pathway controls the transcription of the foxA ferrioxamine receptor gene through the extracytoplasmic function sigma factor sigma(FoxI).
FpvI	fpvA	activates	establecida	Hierro sideroforos	FpvI = sigma ECF, PA2387; fpvA = receptor de ferripioverdina, PA2398	true	9	12492864,12562796,16077110,25433393,35171432	Deletion of this gene, dubbed fpvI, compromised pyoverdine-dependent FpvA ferric pyoverdine receptor production and fpvA gene expression, while the cloned gene stimulated fpvA expression.
FpvR	fpvI	represses	establecida	Hierro sideroforos	represion post-traduccional (secuestro del sigma), no transcripcional	true	8	12492864,12781517,16077110,19730690,22040024	FpvR negatively regulates the activity of a second ECF sigma factor, FpvI, which is required for the synthesis of FpvA, and the presence of ferri-pyoverdine greatly increases the activity of FpvI so that production of FpvA is induced.
FpvR	pvdS	represses	establecida	Hierro sideroforos	FpvR = anti-sigma, PA2388; represion post-traduccional (secuestro), no transcripcional	true	13	12492864,12781517,16077110,18047579,22040024	When pyoverdine is absent subfragments of FpvR inhibit PvdS and FpvI.
Fur	bfrB	activates	establecida	Hierro sideroforos	bfrB = bacterioferritina B, PA3531; activacion INDIRECTA por represion de PrrF	true	6	15210934,37569271,39436074,40150866,41874169	Conversely, Fur positively regulates the genes coding for the bacterioferritin (bfrB) and ferritin (ftnA) iron storage proteins via negative regulation of the PrrF sRNAs.
Fur	fptA	represses	probable	Hierro sideroforos	fptA = receptor de ferripioquelina, PA4221	true	2	8626326,36377899	According to previous studies, 10 of the high-NTR iron-related promoters (pvdS, pchR, prrH, fptA, etc.) are directly regulated by Fur (Fig.
Fur	fpvI	represses	establecida	Hierro sideroforos	FpvI = sigma ECF del receptor de ferripioverdina, PA2387	true	5	12562796,18194565,24587139,35171432,36036571	The pvdS, fpvR, and fpvI genes are repressed by Fur-Fe2+, as well as the pchR gene.
Fur	fpvR	represses	establecida	Hierro sideroforos	FpvR = anti-sigma de membrana interna, PA2388	true	2	18194565,36036571	The pvdS, fpvR, and fpvI genes are repressed by Fur-Fe2+, as well as the pchR gene.
Fur	fumC	represses	probable	Hierro sideroforos	operon fagA-fumC-orfX-sodA (PA4471-PA4468); sodA = Mn-superoxido dismutasa	true	2	9045799,23967252	These data suggest that the P. aeruginosa fagA, fumC, orfX, and sodA genes reside together on a small operon that is regulated by Fur and is transcribed in response to iron limitation in mucoid, alginate-producing bacteria.
Fur	hasR	represses	probable	Hierro sideroforos	hasR = receptor del sistema hemoforo Has, PA3408	true	3	28325763,36712080,37800921	Heme oxygenase also releases iron that can then function through the Fur protein to repress expression of heme-responsive genes, including hasR and prrF1/prrH.
Fur	pchDCBA	represses	establecida	Hierro sideroforos	operones de pioquelina pchDCBA y pchEFGHI	true	8	19686346,28847923,36712080,37569271,40150866	Additionally, iron-activated Fur represses the expression of the two pyochelin operons and pchR (Michel et al., 2005).
Fur	pchR	represses	establecida	Hierro sideroforos	pchR = PA4227, regulador tipo AraC de pioquelina	true	15	8522528,19686346,23967252,36036571,39436074	The pvdS, fpvR, and fpvI genes are repressed by Fur-Fe2+, as well as the pchR gene.
Fur	pirR	represses	probable	Hierro sideroforos	pirR = regulador de respuesta del sistema de dos componentes PirR-PirS, PA0708	true	1	35770947	Under iron-proficient conditions, Fur represses expression of both operons by binding to Fur boxes upstream pirR and piuA (red arrowheads).
Fur	piuA	represses	probable	Hierro sideroforos	piuA = PA4514, receptor TonB-dependiente de catecoles	true	1	35770947	Under iron-proficient conditions, Fur represses expression of both operons by binding to Fur boxes upstream pirR and piuA (red arrowheads).
Fur	prrF1	represses	establecida	Hierro sideroforos	prrF1/prrF2 = sRNAs PrrF, homologos de RyhB de E. coli	true	18	15210934,18405392,23967252,31718472,33428928	Previous works have disclosed that PrrF was transcriptionally repressed by Fur [19].
Fur	prrH	represses	probable	Hierro sideroforos	PrrH = sRNA de lectura continua desde el locus prrF1-prrF2, responde a hemo	true	6	33428928,36377899,36712080,37800921,40122173	Heme oxygenase also releases iron that can then function through the Fur protein to repress expression of heme-responsive genes, including hasR and prrF1/prrH.
Fur	pvdA	represses	establecida	Hierro sideroforos	pvdA = L-ornitina N5-oxigenasa, PA2386; relacion INDIRECTA via PvdS	true	2	8636031,36377899	Our results support the hypothesis that the P. aeruginosa Fur repressor indirectly controls pvdA transcription through the intermediary sigma factor PvdS; in the presence of sufficient iron, Fur blocks the pvdS promoter, thus preventing PvdS expression and consequently transcription of pvdA and other pyoverdin biosynthesis genes.
Fur	pvdS	represses	establecida	Hierro sideroforos	Fur = ferric uptake regulator, PA4764; pvdS = PA2426, sigma de inanicion de hierro	true	30	8522528,8636031,28893176,36036571,39436074	When iron levels in the cytoplasm are sufficient, Fur (ferric-uptake regulator) builds a complex with Fe2+, which then binds to the pvdS-promoter site and inhibits transcription.
Fur	regA	represses	establecida	Hierro sideroforos	regA / regAB = PtxR-asociado, activador de toxA	true	5	1779768,8885271,19686346,22844393,24920832	Upon its activation by iron, Fur specifically binds to the upstream regions of pvdS and regA thereby repressing the expression of toxA and the pyoverdine genes (Vasil & Ochsner, 1999;
Fur	toxA	represses	establecida	Hierro sideroforos	toxA = exotoxina A (ETA), PA1148; relacion INDIRECTA (Fur no une el promotor de toxA)	true	6	1779768,8885271,19686346,22844393,24920832	Under iron-replete conditions, expression of the ETA gene toxA, the siderophore genes, and the siderophore receptor genes is repressed through the ferric uptake regulator, Fur (Vasil & Ochsner, 1999, Hamood, et al., 2004).
HasI	hasR	activates	probable	Hierro sideroforos	HasI = sigma ECF del sistema hemoforo Has, PA3410; hasR = PA3408, operon has (hasRAp)	true	5	32522817,32551497,34324310,34531485,34836613	HasI then binds to the hasR promoter, recruits the core RNA polymerase, and upregulates transcription of the has operon.
PchR	fptA	activates	establecida	Hierro sideroforos	fptA / fptAB = receptor de ferripioquelina, PA4221	true	8	8626326,20406282,22343350,36036571,40150866	The pyochelin biosynthetic operons pchDCBA and pchEFGHI, along with the cognate Fe(III)-pyochelin receptor gene fptA, are induced by the transcriptional regulator PchR bound to the ferripyochelin complex (Michel et al.
PchR	pchDCBA	activates	establecida	Hierro sideroforos	PchR = regulador tipo AraC, PA4227; operones pchDCBA y pchEFGHI	true	13	19686346,20406282,33757766,36036571,40150866	The product PchR, once bound to pyochelin (PCH), represses its own expression, whereas it activates the fptAB, pchEFGHI, and pchDCBA operons.
PchR	pchR	represses	probable	Hierro sideroforos	autorregulacion negativa en ausencia de pioquelina	true	3	8626326,36036571,37569271	The iron-loaded form of pyochelin acts as an effector molecule, activating the gene transcription of PchR targets, while PchR represses its own expression when siderophore is absent [61].
PfeR	pfeA	activates	establecida	Hierro sideroforos	PfeR-PfeS = sistema de dos componentes, PA2686-PA2687; pfeA = receptor de ferrienterobactina, PA2688	true	4	8361354,8808923,24157832,34718721	PfeR, a two-component response regulator, positively regulates pfeA, encoding the enterobactin outer membrane receptor (51).
PirR	pirA	activates	probable	Hierro sideroforos	PirR-PirS = sistema de dos componentes, PA0708-PA0707; pirA = receptor TonB-dependiente, PA0931	true	2	35770947,37795425	Surprisingly, quercetin supplementation increased the susceptibility of P. aeruginosa to siderophore-drug conjugates, due to induction of piuA and pirA expression mediated by the PirR-PirS two-component system.
PrrF	antR	represses	probable	Hierro sideroforos	antR = activador del operon antABC de degradacion de antranilato, PA2426 vecino	true	7	28686727,29507088,33428928,34445336,35891650	PrrF also indirectly promotes the production of the Pseudomonas quinolone signal (PQS) by repressing antR, an activator of genes required for degradation of the PQS biosynthetic precursor anthranilate (15).
PrrF	bfrB	represses	establecida	Hierro sideroforos	bfrB = bacterioferritina B, PA3531; represion traduccional por heteroduplex	true	3	15210934,40150866,41874169	PrrF1 and PrrF2, when expressed (under low-iron conditions), form a heteroduplex with the mRNA of the bacterioferritin gene bfrB, inhibiting its translation.
PrrF	katA	represses	probable	Hierro sideroforos	katA = catalasa, PA4236; antagonizado por la esponja de RNA SkatA	true	2	28976035,34445336	The RNA sponge SkatA acts as a decoy for PrrF1, which interferes with PrrF1 base-pairing to the 5' end of the katA transcript, and thus with translational repression [52,86].
PrrF	sdhCDAB	represses	establecida	Hierro sideroforos	sdh = succinato deshidrogenasa; el corpus casi siempre escribe 'sdh' sin las subunidades	true	1	15210934	As in E. coli, induction of the PrrF sRNAs leads to the rapid loss of mRNAs for sodB (superoxide dismutase), sdh (succinate dehydrogenase), and a gene encoding a bacterioferritin.
PrrF	sodB	represses	establecida	Hierro sideroforos	PrrF1/PrrF2 sRNAs; sodB = Fe-superoxido dismutasa, PA4366; represion post-transcripcional	true	3	15210934,28976035,34836613	As in E. coli, induction of the PrrF sRNAs leads to the rapid loss of mRNAs for sodB (superoxide dismutase), sdh (succinate dehydrogenase), and a gene encoding a bacterioferritin.
PvdS	pqsR	activates	probable	Hierro sideroforos	PqsR = MvfR = PA1003; el corpus usa mvfR con mas frecuencia que pqsR	true	6	20300606,22275523,23967252,24157832,27851827	The iron-responsive sigma factor PvdS (PA2426) turns on mvfR transcription in response to iron starvation (122,123).
PvdS	prpL	activates	establecida	Hierro sideroforos	prpL = piv = proteasa IV, PvdS-regulated endoprotease lysyl class, PA4175	true	11	19730690,20370820,24157832,25433393,40391957	piv expression is directly upregulated by the sigma factor PvdS under iron starvation conditions, leading to the gene's alternate name prpL (PvdS-regulated endoprotease, lysyl class) (26).
PvdS	ptxR	activates	establecida	Hierro sideroforos	ptxR = regulador tipo LysR de toxA, PA2258	true	10	9852033,18048935,18227247,22844393,24920832	DNA-protein binding analysis using recombinant PvdS showed that the PvdS-RNA polymerase holoenzyme complex specifically bound the toxA, regA and ptxR promoter regions.
PvdS	pvdA	activates	establecida	Hierro sideroforos	PvdS = sigma ECF de inanicion de hierro, PA2426; pvdA = PA2386	true	4	8636031,10692351,16030202,36377899	Transcription from the pvdA promoter did not occur in a heterologous host unless in the presence of the pvdS gene in trans and was abrogated in a pvdS mutant of P. aeruginosa.
PvdS	pvdD	activates	establecida	Hierro sideroforos	pvdD = sintetasa peptidica no ribosomal, PA2399	true	3	18048935,19686346,29382736	The P. aeruginosa iron-starvation sigma factor PvdS enhances the transcription of toxA and the pyoverdine synthesis genes pvdD and pvdE (Cunliffe et al., 1995;
PvdS	pvdE	activates	establecida	Hierro sideroforos	pvdE = transportador ABC de pioverdina, PA2397	true	3	11222621,19686346,25433393	Two divergent PvdS-dependent promoters (pvdE and pvdF) were characterized by deletion analysis, and the minimal promoter region for each included a sequence element, the iron starvation (IS) box, that is present in other pvd promoters.
PvdS	pvdF	activates	establecida	Hierro sideroforos	pvdF = PA2396; el mismo promotor divergente pvdE-pvdF	true	3	11222621,29382736,34390514	Two divergent PvdS-dependent promoters (pvdE and pvdF) were characterized by deletion analysis, and the minimal promoter region for each included a sequence element, the iron starvation (IS) box, that is present in other pvd promoters.
PvdS	pvdL	activates	probable	Hierro sideroforos	pvdL = PA2424, NRPS iniciadora de pioverdina	false	0		
PvdS	pvdQ	activates	probable	Hierro sideroforos	pvdN, pvdO, pvdP, pvdQ: genes tardios de maduracion de pioverdina	false	0		
PvdS	toxA	activates	establecida	Hierro sideroforos	toxA = exotoxina A (ETA), PA1148	true	20	9852033,18048935,19389782,19686346,20370820	DNA-protein binding analysis using recombinant PvdS showed that the PvdS-RNA polymerase holoenzyme complex specifically bound the toxA, regA and ptxR promoter regions.
LasR	aprA	activates	establecida	Quorum sensing	aprA = PA1249, proteasa alcalina, AprA	true	6	37255658,21261882,25505457,31718472,39592545	Once activated, the LasR receptor drives the expression of several virulence factors including lasA, lasB, and aprA.
LasR	hcnABC	activates	establecida	Quorum sensing	hcnABC = PA2193-PA2195, sintasa de cianuro de hidrogeno	true	3	31357168,25505457,32457239	The hcnABC operon encoding HCN synthase is activated synergistically by LasR, RhlR, and the anaerobic regulator ANR (Pessi and Haas, 2000).
LasR	lasA	activates	establecida	Quorum sensing	lasA = PA1871, estafilolisina, LasA	true	8	25505457,31718472,35800985,37255658,26457326	LasA is an important virulence factor of P. aeruginosa and is positively regulated by LasR.
LasR	lasB	activates	establecida	Quorum sensing	lasB = PA3724, elastasa B, LasB	true	16	27631025,31718472,37255658,25505457,24533146	When bound to 3OC12HSL, LasR positively regulates expression of lasB, a gene encoding a metalloprotease with destructive activity against host tissues (23, 24).
LasR	lasI	activates	establecida	Quorum sensing	lasI = PA1432; asa de autoinduccion del sistema las	true	24	21261882,24938225,25034696,23498960,32188749	The Las QS system is activated by N-(3-oxododecanoyl)-l-homoserine lactone (3OC12-HSL), and the LasR transcription factor controls expression of 3OC12-HSL synthesis (lasI) and virulence factors (e.g. lasAB, toxA and apr) (Wagner et al., 2004).
LasR	phzA-G	activates	probable	Quorum sensing	phzA1-G1 = PA4210-PA4216 (phz1) y phzA2-G2 = PA1899-PA1905 (phz2); phzM = PA4209	true	3	23028334,32457239,37492705	Promoter-lacZ fusion experiments in wild-type, lasR, and rhlR mutants of P. aeruginosa showed strong LasR- and RhlR-dependent expression of the lacZ reporter fused to the phzA1 promoter fragment (Figure 5B).
LasR	pqsH	activates	establecida	Quorum sensing	pqsH = PA2587, monooxigenasa que convierte HHQ en PQS	true	12	29220387,20406282,28010047,34445336,36036571	LasR directly activates pqsR and pqsH, and PqsR directly activates pqsA, and the loss of any of these genes causes a drastic reduction in PQS production [12, 38, 39].
LasR	pqsR	activates	establecida	Quorum sensing	pqsR = mvfR = PA1003; proteina PqsR = MvfR	true	32	27678057,29220387,26808156,24999454,20406282	On the other hand LasR positively regulates MvfR, as it binds and induces mvfR expression during exponential phase2735, with MvfR eventually becoming LasR-independent at the later stages of growth35.
LasR	rhlI	activates	establecida	Quorum sensing	rhlI = PA3476, sinonimo historico vsmI	true	24	32457239,28715477,20656785,26808156,17714587	LasR also activates the transcription of the rhlI and rhlR genes, which code for the AHL synthase RhlI and the transcriptional regulator RhlR (5, 7).
LasR	rhlR	activates	establecida	Quorum sensing	LasR = PA1430; rhlR = PA3477, sinonimo historico vsmR	true	62	20656785,19682264,31194839,24034668,17714587	Upon binding the acyl homoserine lactone (AHL) 3-oxo-C12-homoserine lactone (3OC12HSL), LasR activates the transcription of RhlR, another transcription factor, and stimulates the production of N-butyryl-homoserine lactone (C4HSL) (Pesci et al., 1997).
LasR	rsaL	activates	establecida	Quorum sensing	rsaL = PA1431, entre lasR y lasI, promotor bidireccional	true	8	28466892,36364411,37569271,40799166,24533146	LasR also activates the expression of other genes, including rsaL, coding for the RsaL protein which acts as a transcriptional repressor of lasI.
LasR	toxA	activates	establecida	Quorum sensing	toxA = PA1148, exotoxina A; regulacion parcialmente via RegA	true	5	31718472,21261882,25505457,8454322,35800985	In the las system, the lasI gene product directs the formation of the diffusible extracellular signal N-(3-oxododecanoyl)-L-HSL (3-oxo-C12-HSL), which interacts with LasR to activate a number of virulence factors, including the LasA and LasB elastases, exotoxin A, and alkaline protease.
PqsR	phnAB	activates	establecida	Quorum sensing	phnAB = PA1001-PA1002, antranilato sintasa	true	11	24782516,23533774,29339431,17083468,41641960	(ii) pqsR (also known as mvfR) codes for a LysR-type regulator required for the transcription of the pqsABCDE and phnAB operons and the biosynthesis of 2-alkyl-4(1H)-quinolones that play critical roles in quorum sensing and the virulence of P. aeruginosa (64);
PqsR	pqsABCDE	activates	establecida	Quorum sensing	PqsR = MvfR = PA1003, regulador tipo LysR; ligandos HHQ y PQS	true	46	42281369,26788419,29220387,20406282,23935486	Given that pqsA transcription is directly activated by PqsR, we speculated that alpha-mangostin might suppress pqsA expression by targeting PqsR.
PqsR	rhlR	activates	probable	Quorum sensing	buena parte del efecto es indirecto, via PqsE que actua como coactivador de RhlR	true	18	27678057,34641440,32457239,40150866,36379213	(b) RNAseq analysis indicates that MvfR induces the expression of rhlR.
QscR	hcnABC	represses	establecida	Quorum sensing		true	3	29375519,12657055,24999454	QscR suppresses quorum-controlled operons involved in hydrogen cyanide and phenazine biosynthesis (Chugani et al., 2001).
QscR	lasI	represses	establecida	Quorum sensing	QscR = PA1898, receptor huerfano (sin sintasa propia)	true	4	24999454,25389523,27075730,30154259	Adding to the complexity is an orphan regulator, QscR, which responds to 3-oxo-C12 HSL and represses quorum-sensing regulated factors including phenazine and hydrogen cyanide production, rhlI/rhlR and lasI expression (Chugani et al., 2001;
QscR	phzA-G	represses	establecida	Quorum sensing	qsc105 es el tercer grupo del trabajo original de Chugani 2001	true	3	12657055,24999454,29375519	It has been shown previously that QscR represses transcription of three QS-controlled gene clusters, phz (phenazine), hcn (hydrogen cyanide) and qsc105 (Chugani, Whiteley, Lee, D'Argenio, Manoil, and Greenberg, 2001, Proc Natl Acad Sci USA 98: 2752-2757).
QscR	rhlI	represses	establecida	Quorum sensing	QscR reprime tambien rhlR segun 24999454	true	4	25389523,24999454,27075730,36364411	Consistent with this finding, lasI and rhlI were both prematurely transcribed in the qscR mutant.
RhlR	hcnABC	activates	establecida	Quorum sensing	hcnA = PA2193	true	12	32457239,31357168,38064526,31830037,37255658	In this second AHL-mediated QS system of P. aeruginosa, RhlR associates with C4-HSL, produced by RhlI, and activates the transcription of genes implicated in several functions, such as the biosynthesis of rhamnolipids (rhlAB), hydrogen cyanide (hcnABC), and phenazines (two orthologous phzABCDEFG operons) as well as genes encoding lectins (lecA and lecB) (2, 5, 8-13).
RhlR	lasB	activates	establecida	Quorum sensing	lasB regulado por las dos ramas, las y rhl	true	8	37255658,21261882,38064526,35604161,30674910	Activated RhlR will induce the expression of virulence factors rhlA, lasB, and hcnA.
RhlR	lecA	activates	establecida	Quorum sensing	lecA = PA2570 = PA-IL, lectina I; lecB = PA3361 = PA-IIL	true	6	31830037,32457239,35604161,30674910,22479525	To further explore the role of the KinB-AlgB TCS on RhlR-driven gene expression, we quantified expression of 4 other RhlR-activated genes [21]-hsiC2 (type-VI secretion), hcnA (hydrogen cyanide synthase), lecA (galactose-binding lectin), and lecB (fucose-binding lectin), all encoding virulence factors-in the WT and the deltakinB mutant.
RhlR	phzA-G	activates	establecida	Quorum sensing	phz1 (phzA1-G1) y phz2 (phzA2-G2); ruta a piocianina via phzM/phzS	true	12	38041625,32265330,32457239,31194839,23028334	To test this hypothesis, we quantified phzA transcript by qRT-PCR and showed that, indeed, RhlR induces the level of phzA transcript (Table 1).
RhlR	pqsABCDE	represses	establecida	Quorum sensing	pqsABCDE = PA0996-PA1000; la represion requiere PqsE ademas de C4-HSL	true	21	24999454,20406282,35019777,27678057,28010047	Studies have revealed a large amount of cross-talk among the three circuits (Dekimpe and Deziel, 2009) where LasR activates the pqsR/mvfR gene (Xiao et al., 2006), while RhlR represses pqsABCDE transcription (McGrath et al., 2004;
RhlR	pqsR	represses	establecida	Quorum sensing	pqsR = mvfR	true	13	34641440,20406282,27678057,40150866,26808156	RhlR inhibits the expression of pqsR and pqsABCD while PqsR activates that of rhlRI.
RhlR	rhlAB	activates	establecida	Quorum sensing	rhlAB = PA3479-PA3478, ramnosiltransferasa, ramnolipidos	true	24	24943492,40243300,38064526,28715477,21261882	Rhamnolipid production was indeed impaired in rpoN mutants [7,8], but subsequent data showed that the RhlR/C4-HSL complex activates the rhlA promoter independently from sigma-54 [12] and it remains unclear if the latter acts only indirectly on rhlAB transcription.
RhlR	rhlI	activates	establecida	Quorum sensing	asa de autoinduccion del sistema rhl	true	20	21261882,32457239,28715477,36379213,40366200	The Rhl system is activated by N-butyryl-HSL (C4-HSL), and the RhlR transcription factor controls expression of C4-HSL synthesis (rhlI), rhlAB, lasB, and pyocyanin production (Wagner et al., 2004).
RhlR	rpoS	regulates	probable	Quorum sensing	relacion en disputa: el corpus la afirma y la niega (ver notas)	true	2	35800985,15073294	By contrast, the second canonical QS system RhlI/RhlR participates in the synthesis of n-butyryl-l-homoserine lactone (C4-AHL), in the regulation of receptor transcription RhlR and other genes, such as lasB (elastase B), rhlAB (rhamnolipid synthesis genes), rhlI (autoinducer synthase), rpoS (the stationary phase sigma factor), lecA (type 1 lectin), lecB (type II lectin) and hcnABC.
RsaL	lasI	represses	establecida	Quorum sensing	RsaL = PA1431	true	9	23861975,25034696,27924027,32188749,28466892	In particular, RsaL directly represses lasI transcription [16,17], while Vfr directly activates the lasR promoter region [18].
Vfr	lasR	activates	establecida	Quorum sensing	Vfr = PA0652, homologo de CRP; entrada de cAMP a la jerarquia de QS	true	6	23861975,24279383,36364411,17159200,12218009	In particular, RsaL directly represses lasI transcription [16,17], while Vfr directly activates the lasR promoter region [18].
