Entry	Gene Names	Gene Ontology IDs	Keywords
Q9I476	PA1268	GO:0047580	3D-structure;Isomerase;Reference proteome
Q9I4W3	dapA PA1010	GO:0005829; GO:0008840; GO:0009089; GO:0019877	3D-structure;Amino-acid biosynthesis;Cytoplasm;Diaminopimelate biosynthesis;Lyase;Lysine biosynthesis;Reference proteome;Schiff base
Q9I589	cbpD lasD PA0852	GO:0005615; GO:0008061; GO:0015628; GO:0043952	3D-structure;Chitin-binding;Direct protein sequencing;Reference proteome;Secreted;Signal
Q9I5N9	hxcR PA0686	GO:0005524; GO:0005737; GO:0005886; GO:0008564; GO:0015627; GO:0015628; GO:0016887	ATP-binding;Cytoplasm;Nucleotide-binding;Protein transport;Reference proteome;Translocase;Transport
Q9I5Q5	anmK PA0666	GO:0005524; GO:0006040; GO:0009254; GO:0016301; GO:0016773; GO:0046677; GO:0097175	3D-structure;Antibiotic resistance;ATP-binding;Carbohydrate metabolism;Kinase;Nucleotide-binding;Reference proteome;Transferase
Q9I5U4	pdxA PA0593	GO:0000287; GO:0005737; GO:0008270; GO:0008615; GO:0042823; GO:0050570; GO:0050897; GO:0051287	3D-structure;Cobalt;Cytoplasm;Magnesium;Metal-binding;NAD;NADP;Oxidoreductase;Pyridoxine biosynthesis;Reference proteome;Zinc
Q9I788	exoT PA0044	GO:0005096; GO:0005576; GO:0016779; GO:0090729; GO:0106274; GO:0141029	3D-structure;Glycosyltransferase;GTPase activation;Nucleotidyltransferase;Reference proteome;Secreted;Toxin;Transferase;Virulence
Q9L7T2	mutM fpg PA0357	GO:0003684; GO:0003906; GO:0006281; GO:0006284; GO:0008270; GO:0016787; GO:0034039; GO:0140078	DNA damage;DNA repair;DNA-binding;Glycosidase;Hydrolase;Lyase;Metal-binding;Multifunctional enzyme;Reference proteome;Zinc;Zinc-finger
G3XDA1	exoS PA3841	GO:0005096; GO:0005576; GO:0016779; GO:0090729; GO:0106274	3D-structure;Glycosyltransferase;GTPase activation;Nucleotidyltransferase;Reference proteome;Secreted;Toxin;Transferase;Virulence
O50175	astB aruB PA0899	GO:0006527; GO:0009015; GO:0019544; GO:0019545	Arginine metabolism;Hydrolase;Reference proteome
O68822	pepA phpA PA3831	GO:0004177; GO:0005737; GO:0006508; GO:0016070; GO:0030145; GO:0070006	Aminopeptidase;Cytoplasm;Hydrolase;Manganese;Metal-binding;Protease;Reference proteome
P05695	oprP PA3279	GO:0006811; GO:0009279; GO:0015288; GO:0046930	3D-structure;Cell outer membrane;Chloride;Direct protein sequencing;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P07344	trpA PA0035	GO:0000162; GO:0004834; GO:0005829	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Lyase;Reference proteome;Tryptophan biosynthesis
P0DP44	ppk PA5242	GO:0005524; GO:0006799; GO:0008976; GO:0009358; GO:0016020; GO:0046872	ATP-binding;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase
P15713	plcN PA3319	GO:0015628; GO:0016042; GO:0016298; GO:0034480	3D-structure;Hydrolase;Reference proteome;Signal
P21482	dsbB1 PA5256	GO:0005886; GO:0006457; GO:0009055; GO:0015035	Cell inner membrane;Cell membrane;Chaperone;Disulfide bond;Electron transport;Membrane;Oxidoreductase;Redox-active center;Reference proteome;Transmembrane;Transmembrane helix;Transport
P23189	gor PA2025	GO:0004362; GO:0004791; GO:0005737; GO:0045454; GO:0050660	Cytoplasm;Disulfide bond;FAD;Flavoprotein;NADP;Oxidoreductase;Redox-active center;Reference proteome
P25185	braZ PA1971	GO:0005304; GO:0005886; GO:0015188; GO:0015190; GO:0015803; GO:0015818; GO:0015820; GO:0015829	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P26994	exsB PA1712	GO:0009279	3D-structure;Cell outer membrane;Membrane;Reference proteome;Signal;Virulence
P34002	aroB PA5038	GO:0000166; GO:0003856; GO:0005737; GO:0008652; GO:0009073; GO:0009423; GO:0046872	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cobalt;Cytoplasm;Lyase;Metal-binding;NAD;Nucleotide-binding;Reference proteome;Zinc
P40883	pchR PA4227	GO:0000976; GO:0001216; GO:0001217; GO:0006351; GO:0032993	Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation
P40947	ssb PA4232	GO:0003697; GO:0006260; GO:0006281; GO:0006310; GO:0008047; GO:0009295	3D-structure;Direct protein sequencing;DNA damage;DNA recombination;DNA repair;DNA replication;DNA-binding;Reference proteome
P42512	fptA PA4221	GO:0009279; GO:0015344; GO:0015891; GO:0033214; GO:0038023; GO:1903981	3D-structure;Cell outer membrane;Direct protein sequencing;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport
P42805	ispE PA4669	GO:0005524; GO:0016114; GO:0019288; GO:0050515	ATP-binding;Isoprene biosynthesis;Kinase;Nucleotide-binding;Reference proteome;Transferase
P48246	hemD PA5259	GO:0004852; GO:0006780; GO:0006782	3D-structure;Lyase;Porphyrin biosynthesis;Reference proteome
P72154	truB orp PA4742	GO:0003723; GO:0006400; GO:0009982; GO:0031119; GO:0160148; GO:1990481	Isomerase;Reference proteome;tRNA processing
P80357	astA aruF PA0896	GO:0006527; GO:0008791; GO:0009015; GO:0019545	3D-structure;Acyltransferase;Arginine metabolism;Direct protein sequencing;Reference proteome;Transferase
P95412	nirD PA0515	GO:0003700; GO:0006355; GO:0016829	Lyase;Reference proteome
P95454	rlmE ftsJ rrmJ PA4752	GO:0001510; GO:0005737; GO:0008650	Cytoplasm;Methyltransferase;Reference proteome;rRNA processing;S-adenosyl-L-methionine;Transferase
Q03027	aprF PA1248	GO:0009279; GO:0015288; GO:0015562; GO:0046903; GO:1990281	Cell outer membrane;Membrane;Reference proteome;Transmembrane;Transmembrane beta strand;Transport
Q51479	nirC PA0517	GO:0009055; GO:0020037; GO:0042597; GO:0046872	3D-structure;Electron transport;Heme;Iron;Metal-binding;Periplasm;Reference proteome;Signal;Transport
Q51508	pchA PA4231	GO:0008909; GO:0009697; GO:0042864	Isomerase;Reference proteome
Q59641	ppiA cypH PA3227	GO:0003755; GO:0006457; GO:0030288	Isomerase;Periplasm;Reference proteome;Rotamase;Signal
Q9HT25	glmS PA5549	GO:0004360; GO:0005829; GO:0005975; GO:0006002; GO:0006047; GO:0006487; GO:0046349; GO:0097367	Aminotransferase;Cytoplasm;Glutamine amidotransferase;Reference proteome;Repeat;Transferase
Q9HT80	polA PA5493	GO:0003677; GO:0003887; GO:0006261; GO:0006302; GO:0008408; GO:0008409	DNA damage;DNA repair;DNA replication;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Nuclease;Nucleotidyltransferase;Reference proteome;Transferase
Q9HTH0	clsA cls PA5394	GO:0005886; GO:0008808; GO:0016020; GO:0032049	Cell inner membrane;Cell membrane;Lipid biosynthesis;Lipid metabolism;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Repeat;Transferase;Transmembrane;Transmembrane helix
Q9HTM1	rpoZ PA5337	GO:0000345; GO:0001000; GO:0003677; GO:0003899; GO:0006352	3D-structure;DNA-directed RNA polymerase;Nucleotidyltransferase;Reference proteome;Transcription;Transferase
Q9HTV3	ubiD PA5237	GO:0005737; GO:0005829; GO:0005886; GO:0006744; GO:0008694; GO:0046872	Cell membrane;Decarboxylase;Flavoprotein;FMN;Lyase;Manganese;Membrane;Metal-binding;Reference proteome;Ubiquinone biosynthesis
Q9HU42	hisH1 PA5142	GO:0000105; GO:0000107; GO:0004359; GO:0009382; GO:0016829	Amino-acid biosynthesis;Cytoplasm;Glutamine amidotransferase;Histidine biosynthesis;Hydrolase;Lyase;Reference proteome
Q9HU65	glnA PA5119	GO:0004356; GO:0005524; GO:0005737; GO:0006542; GO:0016020; GO:0019740; GO:0046872	3D-structure;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome
Q9HU73	fbp PA5110	GO:0000287; GO:0005737; GO:0005829; GO:0006094; GO:0042132	Carbohydrate metabolism;Cytoplasm;Hydrolase;Magnesium;Metal-binding;Reference proteome
Q9HUC6	hslV PA5053	GO:0004298; GO:0005737; GO:0005839; GO:0009376; GO:0046872; GO:0051603	Allosteric enzyme;Cytoplasm;Hydrolase;Metal-binding;Protease;Reference proteome;Sodium;Threonine protease
Q9HUL9	miaA PA4945	GO:0005524; GO:0006400; GO:0052381	3D-structure;ATP-binding;Magnesium;Nucleotide-binding;Reference proteome;Transferase;tRNA processing
Q9HUR2	mdlC PA4901	GO:0000287; GO:0003984; GO:0019596; GO:0030976; GO:0050660; GO:0050695	Aromatic hydrocarbons catabolism;Calcium;Decarboxylase;Lyase;Magnesium;Mandelate pathway;Metal-binding;Reference proteome;Thiamine pyrophosphate
Q9HUU7	pitA PA4866	GO:0016747	3D-structure;Acyltransferase;Reference proteome;Transferase
Q9HV55	infB PA4744	GO:0003743; GO:0003924; GO:0005525; GO:0005737; GO:0005829; GO:0006413	3D-structure;Cytoplasm;GTP-binding;Initiation factor;Nucleotide-binding;Protein biosynthesis;Reference proteome
Q9HV78	trmA PA4720	GO:0000049; GO:0005829; GO:0019843; GO:0030488; GO:0030697	Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing
Q9HVD7	hemH PA4655	GO:0004325; GO:0005737; GO:0006783; GO:0046872	Cytoplasm;Heme biosynthesis;Iron;Lyase;Metal-binding;Porphyrin biosynthesis;Reference proteome
Q9HVG4	rsmC PA4627	GO:0003676; GO:0005737; GO:0008990; GO:0052914; GO:0070475	Cytoplasm;Methyltransferase;Reference proteome;rRNA processing;S-adenosyl-L-methionine;Transferase
Q9HVI7	glyA3 PA4602	GO:0004372; GO:0005829; GO:0019264; GO:0030170; GO:0035999; GO:0046653	Amino-acid biosynthesis;Cytoplasm;One-carbon metabolism;Pyridoxal phosphate;Reference proteome;Transferase
Q9HVL9	proB PA4565	GO:0003723; GO:0004349; GO:0005524; GO:0005829; GO:0055129	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Proline biosynthesis;Reference proteome;Transferase
Q9HVM1	rpsT PA4563	GO:0003735; GO:0005829; GO:0006412; GO:0015935; GO:0070181	3D-structure;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
Q9HVP8	coaE PA4529	GO:0004140; GO:0005524; GO:0005737; GO:0015937	ATP-binding;Coenzyme A biosynthesis;Cytoplasm;Kinase;Nucleotide-binding;Reference proteome;Transferase
Q9HVU5	yhdP PA4476	GO:0015914	Cell inner membrane;Cell membrane;Lipid transport;Membrane;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix;Transport
Q9HVW7	murA PA4450	GO:0005829; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555	3D-structure;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Cytoplasm;Peptidoglycan synthesis;Pyruvate;Reference proteome;Transferase
Q9HW02	murC PA4411	GO:0005524; GO:0005737; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555	3D-structure;ATP-binding;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Cytoplasm;Ligase;Nucleotide-binding;Peptidoglycan synthesis;Reference proteome
Q9HW50	olsA PA4351	GO:0003841; GO:0006654; GO:0016020; GO:0016036; GO:0046467	Acyltransferase;Lipid biosynthesis;Lipid metabolism;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q9HWC9	rpoC PA4269	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0005829; GO:0006351; GO:0008270	3D-structure;DNA-directed RNA polymerase;Magnesium;Metal-binding;Nucleotidyltransferase;Reference proteome;Transcription;Transferase;Zinc
Q9HWD6	rplD PA4262	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	3D-structure;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
Q9HWD8	rplB PA4260	GO:0002181; GO:0003723; GO:0003735; GO:0016740; GO:0019843; GO:0022625	3D-structure;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
Q9HWG0	uvrA PA4234	GO:0003677; GO:0005524; GO:0005829; GO:0006289; GO:0006974; GO:0008270; GO:0009380; GO:0009381; GO:0009432; GO:0016887	ATP-binding;Cytoplasm;DNA damage;DNA excision;DNA repair;DNA-binding;Excision nuclease;Metal-binding;Nucleotide-binding;Reference proteome;Repeat;SOS response;Zinc;Zinc-finger
Q9HWI0	ddlA PA4201	GO:0005524; GO:0005829; GO:0008360; GO:0008716; GO:0009252; GO:0046872; GO:0071555	3D-structure;ATP-binding;Cell shape;Cell wall biogenesis/degradation;Cytoplasm;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Peptidoglycan synthesis;Reference proteome
Q9HWZ6	ppa PA4031	GO:0000287; GO:0004427; GO:0005615; GO:0005829; GO:0006796	3D-structure;Cytoplasm;Hydrolase;Magnesium;Metal-binding;Reference proteome
Q9HX08	ubiX PA4019	GO:0004659; GO:0016831; GO:0106141	3D-structure;Flavoprotein;FMN;Prenyltransferase;Reference proteome;Transferase
Q9HX21	nadD PA4006	GO:0000309; GO:0004515; GO:0005524; GO:0034355	3D-structure;ATP-binding;NAD;Nucleotide-binding;Nucleotidyltransferase;Pyridine nucleotide biosynthesis;Reference proteome;Transferase
Q9HX25	lipA PA3996	GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539	4Fe-4S;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Reference proteome;S-adenosyl-L-methionine;Transferase
Q9HX40	thiE PA3976	GO:0000287; GO:0004789; GO:0005737; GO:0009228; GO:0009229	Magnesium;Metal-binding;Reference proteome;Thiamine biosynthesis;Transferase
Q9HX97	moaE PA3916	GO:0005829; GO:0006777; GO:0030366	Molybdenum cofactor biosynthesis;Reference proteome;Transferase
Q9HXE5	rhlB rhl PA3861	GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0006401; GO:0016887	ATP-binding;Cytoplasm;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;RNA-binding
Q9HXI8	iscS PA3814	GO:0030170; GO:0031071; GO:0044571; GO:0046872; GO:0051537; GO:1990221	2Fe-2S;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Pyridoxal phosphate;Reference proteome;Transferase
Q9HXP3	purT PA3751	GO:0000287; GO:0004644; GO:0005524; GO:0005829; GO:0006189; GO:0043815	ATP-binding;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Purine biosynthesis;Reference proteome
Q9HXQ1	trmD PA3743	GO:0002939; GO:0005829; GO:0052906	3D-structure;Cytoplasm;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing
Q9HXY9	rnhB PA3642	GO:0003723; GO:0004523; GO:0005737; GO:0006298; GO:0030145; GO:0032299; GO:0043137	Cytoplasm;Endonuclease;Hydrolase;Manganese;Metal-binding;Nuclease;Reference proteome
Q9HXZ2	accA PA3639	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	ATP-binding;Cytoplasm;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Nucleotide-binding;Reference proteome;Transferase
Q9HY23	dgkA PA3603	GO:0001727; GO:0004143; GO:0005524; GO:0005886; GO:0006654; GO:0046872	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Lipid biosynthesis;Lipid metabolism;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q9HY59	arnF PA3558	GO:0005886; GO:0009103; GO:0009245; GO:0022857; GO:0055085; GO:1901505	Cell inner membrane;Cell membrane;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9HY64	arnC PA3553	GO:0005886; GO:0009103; GO:0009245; GO:0016780; GO:0036108; GO:0046677; GO:0099621	Antibiotic resistance;Cell inner membrane;Cell membrane;Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q9HY90	flcE PA3519	GO:0004553; GO:0016491; GO:0042597	Antibiotic biosynthesis;Iron;Metal-binding;Oxidoreductase;Reference proteome
Q9HYB9	rnfB PA3490	GO:0005886; GO:0009055; GO:0022900; GO:0046872; GO:0051539	4Fe-4S;Cell inner membrane;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Translocase;Transport
Q9HYC9	dcd PA3480	GO:0000166; GO:0006226; GO:0006229; GO:0006235; GO:0008829; GO:0015949	Hydrolase;Nucleotide metabolism;Nucleotide-binding;Reference proteome
Q9HYT0	phnC1 PA3314	GO:0005524; GO:0005886; GO:0015416; GO:0016887; GO:0042626	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Phosphonate transport;Reference proteome;Translocase;Transport
Q9HYT6	rapA hepA PA3308	GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0006351; GO:0016817; GO:0031507; GO:0045944; GO:0140750	Activator;ATP-binding;DNA-binding;Hydrolase;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation
Q9HZ67	pheA PA3166	GO:0004106; GO:0004664; GO:0005737; GO:0009094; GO:0046417	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Isomerase;Lyase;Multifunctional enzyme;Phenylalanine biosynthesis;Reference proteome
Q9I099	thrS PA2744	GO:0000049; GO:0004829; GO:0005524; GO:0005829; GO:0006435; GO:0046872	Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;RNA-binding;tRNA-binding;Zinc
Q9I0A4	pheT PA2739	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0006432; GO:0009328	3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;RNA-binding;tRNA-binding
Q9I0D9	tsi2 PA2703		3D-structure;Disulfide bond;Reference proteome
Q9I0I1	carR PA2657	GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0032993; GO:0051592	3D-structure;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
Q9I0M1	aat PA2617	GO:0005737; GO:0008914; GO:0030163	Acyltransferase;Cytoplasm;Reference proteome;Transferase
Q9I0Q7	kynA PA2579	GO:0004833; GO:0019441; GO:0019442; GO:0020037; GO:0046872	Dioxygenase;Heme;Iron;Metal-binding;Oxidoreductase;Reference proteome;Tryptophan catabolism
Q9I0R8	PA2567	GO:0005886; GO:0071111; GO:1900190	3D-structure;c-di-GMP;Hydrolase;Reference proteome
Q9I104	dsbD2 PA2478	GO:0005886; GO:0009055; GO:0015035; GO:0017004; GO:0045454; GO:0047134	Cell inner membrane;Cell membrane;Cytochrome c-type biogenesis;Disulfide bond;Electron transport;Membrane;NAD;Oxidoreductase;Redox-active center;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport
Q9I1Q0	PA2217	GO:0047533	Carbohydrate metabolism;NAD;NADP;Oxidoreductase;Reference proteome
Q9I1Q5	PA2212	GO:0005737; GO:0008615; GO:0046872; GO:0050570; GO:0051287	Cobalt;Cytoplasm;Magnesium;Metal-binding;NAD;NADP;Oxidoreductase;Pyridoxine biosynthesis;Reference proteome;Zinc
Q9I1W4	glgE PA2151	GO:0004556; GO:0009313; GO:0016758; GO:0030979	Carbohydrate metabolism;Glycosyltransferase;Reference proteome;Transferase
Q9I2F3	fapF PA1951	GO:0005576; GO:0009279; GO:0009986; GO:0015031; GO:1990000	Cell outer membrane;Coiled coil;Membrane;Protein transport;Reference proteome;Secreted;Signal;Transport
Q9I2N4	modC PA1861	GO:0005524; GO:0005886; GO:0015412; GO:0016887	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Molybdenum;Nucleotide-binding;Reference proteome;Translocase;Transport
Q9I2S7	ldcA PA1818	GO:0005737; GO:0006520; GO:0008923	3D-structure;Decarboxylase;Lyase;Pyridoxal phosphate;Reference proteome;Virulence
Q9I2S9	rnhA PA1815	GO:0000287; GO:0003676; GO:0004523; GO:0005737; GO:0043137	Cytoplasm;Endonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome
Q9I2U0	clpX PA1802	GO:0005524; GO:0008270; GO:0009376; GO:0016887; GO:0046983; GO:0051082; GO:0051301; GO:0051603; GO:0140662	3D-structure;ATP-binding;Chaperone;Metal-binding;Nucleotide-binding;Reference proteome;Zinc
Q9I340	mtnC PA1685	GO:0000287; GO:0019509; GO:0043715; GO:0043716; GO:0043874	Amino-acid biosynthesis;Hydrolase;Magnesium;Metal-binding;Methionine biosynthesis;Reference proteome
Q9I351	folE2 PA1674	GO:0003934; GO:0005525; GO:0005737; GO:0006729; GO:0006730; GO:0008270; GO:0046654	GTP-binding;Hydrolase;Nucleotide-binding;One-carbon metabolism;Reference proteome
Q9I3H5	PA1538	GO:0004497; GO:0004499; GO:0016709; GO:0050660; GO:0050661	FAD;Flavoprotein;Monooxygenase;NADP;Oxidoreductase;Reference proteome
Q9I3N1	dsbE ccmG PA1481	GO:0005886; GO:0015036; GO:0016491; GO:0017004; GO:0030288	3D-structure;Cell inner membrane;Cell membrane;Cytochrome c-type biogenesis;Disulfide bond;Membrane;Redox-active center;Reference proteome;Transmembrane;Transmembrane helix
Q9I3N2	ccmF PA1480	GO:0002049; GO:0004096; GO:0005886; GO:0015232; GO:0016491; GO:0017004; GO:0020037; GO:0043107; GO:0071977; GO:0071978	Cell inner membrane;Cell membrane;Cytochrome c-type biogenesis;Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q9I526	cysM PA0932	GO:0004124; GO:0005737; GO:0006535; GO:0019344	Amino-acid biosynthesis;Cysteine biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase
Q9I558	acsA1 PA0887	GO:0003987; GO:0005524; GO:0005829; GO:0006085; GO:0016208; GO:0019427; GO:0046872	Acetylation;ATP-binding;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome
Q9I5G8	lepA le PA0767	GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0043022; GO:0045727; GO:0097216	Cell inner membrane;Cell membrane;GTP-binding;Hydrolase;Membrane;Nucleotide-binding;Protein biosynthesis;Reference proteome
Q9I5J6	rsuA PA0733	GO:0000455; GO:0003723; GO:0005829; GO:0009982; GO:0160136	Isomerase;Reference proteome;RNA-binding;rRNA processing
Q9I614	bioD PA0504	GO:0000287; GO:0004141; GO:0005524; GO:0005829; GO:0009102; GO:0042803	ATP-binding;Biotin biosynthesis;Cytoplasm;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome
Q9I685	ahcY sahH PA0432	GO:0004013; GO:0005829; GO:0006730; GO:0033353; GO:0071269	3D-structure;Cytoplasm;Hydrolase;NAD;One-carbon metabolism;Reference proteome
Q9I697	gshB PA0407	GO:0004363; GO:0005524; GO:0005737; GO:0046872	ATP-binding;Glutathione biosynthesis;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Reference proteome
Q9I6F6	PA0335	GO:0000105; GO:0004401; GO:0046872	Amino-acid biosynthesis;Histidine biosynthesis;Hydrolase;Magnesium;Metal-binding;Reference proteome
Q9I6M9	tle3 PA0260	GO:0005576; GO:0044229	Host periplasm;Reference proteome;Secreted;Virulence
Q9I6V7	cheR2 PA0175	GO:0006935; GO:0008276; GO:0008983; GO:0032259; GO:0098561	Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase
Q9I702	bauC PA0130	GO:0004491; GO:0006210; GO:0006574; GO:0019483	NAD;Oxidoreductase;Reference proteome
Q9I733	tse7 PA0099	GO:0004530; GO:0033103	Hydrolase;Reference proteome;Virulence
Q9I737	vgrG1b PA0095	GO:0005576; GO:0033103; GO:0033104	Reference proteome;Secreted
Q9I742	clpV1 PA0090	GO:0005524; GO:0005737; GO:0016887; GO:0044183	3D-structure;ATP-binding;Chaperone;Coiled coil;Cytoplasm;Nucleotide-binding;Reference proteome;Repeat
Q9I749	tssB1 PA0083		3D-structure;Reference proteome
Q9I750	tssA1 PA0082	GO:0033104	Reference proteome
Q9I7C2	gyrB PA0004	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006261; GO:0006265; GO:0046872	3D-structure;ATP-binding;Cytoplasm;DNA-binding;Isomerase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Topoisomerase
Q9K3C5	fliD PA1094	GO:0005576; GO:0007155; GO:0009421; GO:0009424; GO:0071973	3D-structure;Bacterial flagellum;Coiled coil;Reference proteome;Secreted
Q9RMT3	tonB2 PA0197	GO:0015031; GO:0015891; GO:0030288; GO:0031992; GO:0055085; GO:0098797	Cell inner membrane;Cell membrane;Membrane;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9S586	gph1 PA0608	GO:0005829; GO:0005975; GO:0006281; GO:0008967; GO:0046295; GO:0046872	Carbohydrate metabolism;Hydrolase;Magnesium;Metal-binding;Reference proteome
Q9X2N2	pgl devB PA3182	GO:0005975; GO:0006098; GO:0017057	Hydrolase;Reference proteome
Q9X6R0	speE1 speE PA1687	GO:0004766; GO:0005829; GO:0008295	Cytoplasm;Polyamine biosynthesis;Reference proteome;Spermidine biosynthesis;Transferase
Q9ZI86	lnt cutE PA3984	GO:0005886; GO:0016410; GO:0042158	3D-structure;Acyltransferase;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
G3XD21	mexX PA2019	GO:0005886; GO:0022857; GO:0046677	Cell inner membrane;Cell membrane;Coiled coil;Lipoprotein;Membrane;Palmitate;Periplasm;Reference proteome;Signal
G3XD47	aotJ PA0888	GO:0005615; GO:0006865; GO:0016597; GO:0030288	Amino-acid transport;Periplasm;Reference proteome;Signal;Transport
G3XDA7	ftsQ PA4409	GO:0000917; GO:0005886; GO:0032153; GO:0043093; GO:1990587	3D-structure;Cell cycle;Cell division;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
O30506	aotP PA0892	GO:0005524; GO:0005886; GO:0015424; GO:0016887; GO:0042626	Amino-acid transport;ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Transport
O30557	aroQ1 aroQ PA4846	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0019631	3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Lyase;Reference proteome
O54438	fabG PA2967	GO:0004316; GO:0016616; GO:0030497; GO:0050661; GO:0051287	3D-structure;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;NADP;Oxidoreductase;Reference proteome
O54439	acpP1 acpP PA2966	GO:0000035; GO:0000036; GO:0005829; GO:0009245; GO:0016020; GO:0031177	Cytoplasm;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Phosphopantetheine;Phosphoprotein;Reference proteome
O68562	bamE omlA oprX PA4765	GO:0030674; GO:0043165; GO:0051205; GO:1990063	3D-structure;Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
