operon	miembros	locus_tags	hebra
yrfI-pckA	yrfI|pckA	PA5193|PA5192	-
amgRS	amgR|amgS	PA5200|PA5199	-
pepP-ubiH	pepP|ubiH	PA5224|PA5223	-
dsbH-algQ	dsbH|algQ	PA5256|PA5255	-
algZR-hemCD	algZ|algR|hemC|hemD	PA5262|PA5261|PA5260|PA5259	-
corA-hcpB	corA|hcpB	PA5268|PA5267	-
lppL-lysA-dapF	lppL|lysA|dapF	PA5276|PA5277|PA5278	+
glnK-amtB	glnK|amtB	PA5288|PA5287	-
rpmBG	rpmB|rpmG	PA5316|PA5315	-
algC-argB	algC|argB	PA5322|PA5323	+
rpoZ-spoT	rpoZ|spoT	PA5337|PA5338	+
oxyR-recG	oxyR|recG	PA5344|PA5345	+
alkT-hupA	alkT|hupA	PA5349|PA5348	-
glcDEF	glcD|glcE|glcF	PA5355|PA5354|PA5353	-
glcC-ubiCA	glcC|ubiC|ubiA	PA5356|PA5357|PA5358	+
phoBR	phoB|phoR	PA5360|PA5361	+
pstSCAB-phoU	pstS|pstC|pstA|pstB|phoU	PA5369|PA5368|PA5367|PA5366|PA5365	-
betIBA	betI|betB|betA	PA5374|PA5373|PA5372	-
sdaB-gbdR	sdaB|gbdR	PA5379|PA5380	+
cdhCAB	cdhC|cdhA|cdhB	PA5387|PA5386|PA5385	-
dgcAB	dgcA|dgcB	PA5398|PA5399	+
soxBDAG	soxB|soxD|soxA|soxG	PA5416|PA5417|PA5418|PA5419	+
purEK	purE|purK	PA5426|PA5425	-
wbpXYZ	wbpX|wbpY|wbpZ	PA5449|PA5448|PA5447	-
znuCB	znuC|znuB	PA5500|PA5501	+
mifSR	mifS|mifR	PA5512|PA5511	-
glmRS	glmR|glmS	PA5550|PA5549	-
atpIBEFHAGDC-glmU	atpI|atpB|atpE|atpF|atpH|atpA|atpG|atpD|atpC|glmU	PA5561|PA5560|PA5559|PA5558|PA5557|PA5556|PA5555|PA5554|PA5553|PA5552	-
gidAB	gidA|gidB	PA5565|PA5564	-
rpmH-rnpA-yidC-mnmE	rpmH|rnpA|yidC|mnmE	PA5570|PA5569|PA5568|PA5567	-
